10
248
80;94;144;86;100;100;22;72;86;22;28;50;50;72;58;130;166;94;80;94;122;100;58;94;36;50;44;100;93;86;94;72;72;68;68;86;158;86;144;108;136;100;80;44;86;144;130;122;8;94;94;64;94;58;97;176;90;22;22;44
80;86;144;72;86;100;14;72;86;22;28;64;44;80;50;144;158;94;50;100;144;108;94;94;28;50;50;100;90;80;130;108;100;86;83;90;152;80;144;108;172;152;86;50;80;152;130;122;14;86;94;80;108;80;94;176;90;28;14;36
80;94;136;64;86;80;28;64;80;14;36;64;58;80;50;130;152;86;50;94;144;100;86;100;36;50;44;122;115;108;116;100;86;94;79;90;158;72;130;116;166;144;72;50;80;144;136;116;8;80;94;64;100;58;72;169;90;22;22;36
80;86;144;58;80;86;28;72;94;28;44;64;50;80;58;136;136;94;50;94;144;94;94;94;28;50;50;122;122;122;122;122;94;94;79;86;166;86;136;122;188;144;80;44;80;130;130;116;14;86;86;58;80;58;72;173;94;28;28;44
80;86;136;64;86;100;22;80;94;22;28;80;50;86;58;130;136;100;58;94;136;94;72;94;36;50;50;130;130;130;116;122;94;90;76;94;166;94;136;108;194;152;72;50;80;144;130;108;14;86;94;80;108;80;83;176;97;22;28;44
86;86;136;58;86;94;28;80;94;22;44;72;50;86;50;122;130;94;58;86;130;86;80;108;36;44;44;108;104;100;130;130;94;86;83;90;152;86;144;116;188;152;80;50;80;144;136;116;14;94;100;80;108;72;86;176;97;22;22;36
94;94;122;58;86;94;22;80;100;14;36;72;58;80;50;122;130;94;50;80;136;86;80;94;28;50;50;100;90;80;116;130;94;83;83;108;144;72;144;116;188;158;72;44;86;144;136;116;14;94;100;58;94;64;94;176;94;22;22;36
94;86;130;64;94;94;36;86;116;22;28;80;50;72;58;130;130;94;58;86;130;80;72;94;28;50;50;100;93;86;116;130;80;79;79;94;158;72;130;122;188;152;80;50;86;130;122;108;14;86;100;50;94;58;86;173;94;22;28;36
94;80;116;72;100;80;22;80;94;14;28;64;58;80;58;122;122;94;58;86;136;94;80;94;28;50;58;108;101;94;122;116;86;86;79;94;144;64;130;122;194;152;72;44;80;152;144;122;22;86;100;64;86;64;79;166;94;22;14;44
94;86;122;72;100;80;14;80;86;22;36;80;58;80;58;136;136;94;58;86;144;94;72;86;28;44;44;116;101;86;116;130;86;83;76;90;144;72;136;130;188;166;80;44;86;144;144;122;14;100;100;58;94;80;76;166;97;14;22;36
